"KOID Holdings","As of 2026-06-09","Holdings Are Subject To Change"
Rank,"Company Name","% of Net Assets",Ticker,Identifier,"Shares Held","Market Value($)"
1,"CREDO TECHNOLOGY GROUP HOLDI",3.75,CRDO,KYG254571055,"40,230","9,426,694"
2,"LEADER HARMONIOUS DRIVE SY-A",3.38,688017,CNE1000043F9,"137,082","8,503,081"
3,"STMICROELECTRONICS NV",3.29,STMMI,NL0000226223,"116,381","8,271,407"
4,"INFINEON TECHNOLOGIES AG",3.05,IFX,DE0006231004,"87,617","7,664,588"
5,"RENESAS ELECTRONICS CORP",3.00,6723,JP3164720009,"275,000","7,541,886"
6,"HARMONIC DRIVE SYSTEMS INC",2.82,6324,JP3765150002,"161,900","7,102,162"
7,"THK CO LTD",2.41,6481,JP3539250005,"135,100","6,058,867"
8,"CHINA LEADSHINE TECHNOLOGY-A",2.38,002979,CNE100003SM6,"738,300","5,979,426"
9,"NXP SEMICONDUCTORS NV",2.32,NXPI,NL0009538784,"19,636","5,839,943"
10,"MELEXIS NV",2.29,MELE,BE0165385973,"63,079","5,776,225"
11,"TEXAS INSTRUMENTS INC",2.29,TXN,US8825081040,"19,970","5,763,941"
12,"HIWIN TECHNOLOGIES CORP",2.21,2049,TW0002049004,"511,000","5,573,664"
13,"SENSATA TECHNOLOGIES HOLDING",2.19,ST,GB00BFMBMT84,"110,795","5,500,972"
14,"DOOSAN CO LTD",2.16,000150,KR7000150003,"5,258","5,444,165"
15,"JABIL INC",2.14,JBL,US4663131039,"14,885","5,394,026"
16,"MOBILEYE GLOBAL INC-A",2.10,MBLY,US60741F1049,"565,229","5,273,587"
17,"NOVANTA INC",2.08,NOVT,CA67000B1040,"32,655","5,246,026"
18,"NIDEC CORP",2.04,6594,JP3734800000,"306,600","5,123,552"
19,"UBTECH ROBOTICS CORP LTD-H",2.01,9880,CNE100006CQ4,"340,100","5,064,299"
20,"MOOG INC-CLASS A",2.00,MOG/A,US6153942023,"13,040","5,023,399"
21,"SCHAEFFLER AG",1.98,SHA,DE000SHA0100,"464,521","4,994,849"
22,"KELI SENSING TECHNOLOGY NI-A",1.98,603662,CNE100003M02,"473,800","4,976,692"
23,"ANALOG DEVICES INC",1.95,ADI,US0326541051,"12,155","4,918,156"
24,"JIANGSU HENGLI HYDRAULIC C-A",1.91,601100,CNE1000019R4,"266,400","4,817,715"
25,"AMPHENOL CORP-CL A",1.90,APH,US0320951017,"31,039","4,782,179"
26,"NABTESCO CORP",1.90,6268,JP3651210001,"157,700","4,781,531"
27,"ZHEJIANG SHUANGHUAN DRIVEL-A",1.90,002472,CNE100000TF4,"721,400","4,778,626"
28,"NVIDIA CORP",1.85,NVDA,US67066G1040,"22,311","4,644,927"
29,"MAGNA INTERNATIONAL INC",1.82,MG,CA5592224011,"69,345","4,581,737"
30,"NINGBO TUOPU GROUP CO LTD-A",1.80,601689,CNE1000023J3,"453,500","4,535,837"
31,"LINGYI ITECH GUANGDONG CO -A",1.76,002600,CNE1000015L5,"2,018,278","4,427,623"
32,"REGAL REXNORD CORP",1.76,RRX,US7587501039,"20,733","4,422,349"
33,"RAINBOW ROBOTICS",1.75,277810,KR7277810008,"10,681","4,399,658"
34,"MP MATERIALS CORP",1.75,MP,US5533681012,"80,916","4,393,739"
35,"ZHEJIANG SANHUA INTELLIGEN-A",1.70,002050,CNE000001M22,"610,800","4,282,250"
36,"SHENZHEN INOVANCE TECHNOLO-A",1.68,300124,CNE100000V46,"384,700","4,236,740"
37,"RBC BEARINGS INC",1.67,RBC,US75524B1044,"7,086","4,197,817"
38,"SHENZHEN ZHAOWEI MACHINERY-A",1.66,003021,CNE100004934,"265,375","4,186,843"
39,"TESLA INC",1.64,TSLA,US88160R1014,"10,386","4,119,918"
40,"SHUANGLIN CO LTD-A",1.60,300100,CNE100000S90,"863,989","4,031,842"
41,"CHINA NORTHERN RARE EARTH -A",1.57,600111,CNE000000T18,"551,400","3,951,276"
42,"TELEDYNE TECHNOLOGIES INC",1.56,TDY,US8793601050,"6,359","3,937,874"
43,"TE CONNECTIVITY PLC",1.56,TEL,IE000IVNQZ81,"18,655","3,934,526"
44,"APTIV PLC",1.52,APTV,JE00BTDN8H13,"55,738","3,816,938"
45,"XPENG INC - CLASS A SHARES",1.39,9868,KYG982AW1003,"445,900","3,487,705"
46,"HEXAGON AB-B SHS",1.38,HEXAB,SE0015961909,"400,915","3,478,300"
47,"Lynas Rare Earths Limited",1.36,LYC,AU000000LYC6,"282,326","3,434,782"
48,"ROBOSENSE TECHNOLOGY CO LTD",1.36,2498,KYG7611S1075,"866,800","3,417,584"
49,"KEYENCE CORP",1.26,6861,JP3236200006,"6,800","3,172,669"
50,"HORIZON ROBOTICS INC",1.08,9660,KYG4602S1057,"4,377,000","2,714,280"
51,Cash,0.11,,–,"273,180","273,180"
52,EURO,0.00,,–,"1,061","1,226"
53,"AUSTRALIAN DOLLAR",0.00,,–,"1,008",710
54,"HONG KONG DOLLAR",0.00,,–,"2,898",370
55,"CANADIAN DOLLAR",0.00,,–,45,32
56,"JAPANESE YEN",0.00,,–,"2,475",15
57,"TAIWAN DOLLAR",0.00,,–,177,6
58,"SWEDISH KRONE",0.00,,–,7,1
