"Name of Securities","Exchange Ticker","Exchange","Market Price (in RMB)","Number of Shares Held","Market Value (in RMB)","Net Assets (%)"
"HAN'S LASER TECHNOLOGY IN","002008 C2","Shenzhen","124.50","744,800","92,727,600.00","10.45"
"HGTECH","000988 C2","Shenzhen","155.53","497,000","77,298,410.00","8.72"
"SUPCON TECHNOLOGY","688777 C1","Shanghai","110.00","573,634","63,099,740.00","7.11"
"SHENZHEN INOVANCE TECHNOLO","300124 C2","Shenzhen","74.60","809,114","60,359,904.40","6.80"
"BAIDU INC - SPON ADR","BIDU US","New York","820.37","68,935","56,552,017.90","6.37"
"HANGZHOU HIKVISION DIGITAL","002415 C2","Shenzhen","30.49","1,843,900","56,220,511.00","6.34"
"IFLYTEK","002230 C2","Shenzhen","44.51","1,137,500","50,630,125.00","5.70"
"ROBOTECHNIK INTELLIGENT TE","300757 C2","Shenzhen","627.01","67,800","42,511,278.00","4.79"
"SHANGHAI BOCHU ELECTRONIC","688188 C1","Shanghai","154.79","208,690","32,303,125.10","3.64"
"BEIJING KINGSOFT OFFICE SO","688111 C1","Shanghai","225.80","141,991","32,061,567.80","3.62"
"WUHAN JINGCE ELECTRONIC GR","300567 C2","Shenzhen","188.88","168,800","31,882,944.00","3.59"
"ZHEJIANG DAHUA TECHNOLOGY","002236 C2","Shenzhen","16.59","1,840,900","30,540,531.00","3.44"
"LEADER HARMONIOUS DRIVE SY","688017 C1","Shanghai","420.17","71,654","30,106,861.18","3.39"
"SENSETIME GROUP INC-CLASS B","20 HK","Hong Kong","1.33","21,609,953","28,763,605.84","3.24"
"HORIZON ROBOTICS INC","9660 HK","Hong Kong","4.20","6,704,568","28,162,801.54","3.17"
"OPTOWIDE TECHNOLOGIES CO L","688195 C1","Shanghai","212.33","130,880","27,789,750.40","3.14"
"MINIMAX GROUP INC","100 HK","Hong Kong","401.38","66,023","26,500,633.19","2.99"
"THUNDER SOFTWARE TECHNOLOG","300496 C2","Shenzhen","66.01","331,800","21,902,118.00","2.47"
"ZHEJIANG SHUANGHUAN DRIVEL","002472 C2","Shenzhen","44.87","464,100","20,824,167.00","2.35"
"SIASUN ROBOT & AUTOMATION","300024 C2","Shenzhen","15.90","1,134,600","18,040,140.00","2.04"
"BEIJING ROBOROCK TECHNOLOG","688169 C1","Shanghai","111.07","127,412","14,151,650.84","1.60"
"GUANGDONG CREATE CENTURY I","300083 C2","Shenzhen","11.01","1,130,900","12,451,209.00","1.41"
"HESAI GROUP","HSAI US","New York","124.91","94,209","11,767,430.25","1.33"
"CETC POTEVIO SCIENCE&TECHN","002544 C2","Shenzhen","19.57","492,000","9,628,440.00","1.09"
"XI'AN BRIGHT LASER TECHNOL","688333 C1","Shanghai","87.21","102,623","8,949,751.83","1.01"
