Ticker,Name,Identifier,Weight,Shares,Market Value
005380 KS,"Hyundai Motor Co",6451055,2.73%,"5,490","$2,319,488"
086280 KS,"Hyundai Glovis Co Ltd",B0V3XR5,2.28%,"14,823","$1,940,529"
108490 KS,"Robotis Co Ltd",BGR7CR6,2.87%,"12,731","$2,441,065"
1810 HK,"Xiaomi Corp",BG0ZMJ9,1.80%,"441,400","$1,531,944"
2049 TT,"Hiwin Technologies Corp",B1YMYT5,1.81%,"140,979","$1,537,709"
2432 HK,"Shenzhen Dobot Corp Ltd",BTDQ4G1,2.70%,"613,600","$2,292,441"
2498 HK,"RoboSense Technology Co Ltd",BNG5JM4,1.17%,"252,300","$994,758"
277810 KS,"Rainbow Robotics",BM9Q3J2,3.98%,"8,208","$3,380,993"
425 HK,"Minth Group Ltd",B0RJCG9,1.72%,"346,800","$1,465,585"
454910 KS,"Doosan Robotics Inc",BN4P528,2.50%,"27,524","$2,121,920"
6268 JP,"Nabtesco Corp",6687571,1.98%,"55,600","$1,685,815"
6324 JP,"Harmonic Drive Systems Inc",6108179,4.53%,"87,800","$3,851,574"
6481 JP,"THK Co Ltd",6869131,0.79%,"15,000","$672,709"
6506 JP,"Yaskawa Electric Corp",6986041,1.75%,"37,300","$1,488,462"
6861 JP,"Keyence Corp",6490995,1.43%,"2,600","$1,213,079"
688017 C1,"Leader Harmonious Drive Systems Co Ltd",BMGJQ17,5.40%,"73,923","$4,587,717"
688256 C1,"Cambricon Technologies Corp Ltd",BNHPMD5,0.97%,"4,406","$826,501"
6954 JP,"FANUC Corp",6356934,1.60%,"30,700","$1,364,167"
7012 JP,"Kawasaki Heavy Industries Ltd",6484620,1.10%,"53,800","$938,323"
9880 HK,"UBTech Robotics Corp Ltd",BR4VSK3,7.77%,"443,400","$6,602,499"
9903 HK,"Shanghai Iluvatar CoreX Semiconductor Co Ltd",BT9QTZ9,1.01%,"13,100","$861,671"
ABB SS,"ABB Ltd",7113815,2.31%,"19,372","$1,961,700"
AMD,"Advanced Micro Devices Inc",007903107,2.71%,"4,841","$2,301,919"
AMZN,"Amazon.com Inc",023135106,2.57%,"8,931","$2,180,860"
ARM,"ARM Holdings PLC",042068205,1.51%,"3,960","$1,286,445"
BABA,"Alibaba Group Holding Ltd",01609W102,1.96%,"13,918","$1,665,984"
CNY,"CHINESE YUAN",CASHCNY,0.11%,"643,865","$95,101"
EUR,"EURO",CASHEUR,0.02%,"14,027","$16,218"
FGXXX,"First American Government Obligations Fund 12/01/2031",31846V336,0.89%,"758,879","$758,879"
GOOGL,"Alphabet Inc",02079K305,2.17%,"5,058","$1,842,427"
HEXAB SS,"Hexagon AB",BNZFHC1,1.87%,"183,126","$1,588,783"
HSAI,"Hesai Group",428050108,1.15%,"52,888","$975,254"
MBLY,"Mobileye Global Inc",60741F104,1.94%,"176,672","$1,648,349"
NVDA,"NVIDIA Corp",67066G104,4.05%,"16,536","$3,442,629"
OCTVSDB SS,"Octave Intelligence PLC",BN72QH8,0.39%,"17,518","$330,159"
OUST,"Ouster Inc",68989M202,2.54%,"56,056","$2,159,277"
QCOM,"QUALCOMM Inc",747525103,3.42%,"14,140","$2,904,638"
RBC,"RBC Bearings Inc",75524B104,0.59%,"853","$505,325"
ROK,"Rockwell Automation Inc",773903109,0.73%,"1,342","$617,950"
SEK,"SWEDISH KRONA",CASHSEK,-0.02%,"-182,969","$-19,373"
SHA0 GR,"Schaeffler AG",BV5F6V9,1.98%,"156,702","$1,684,967"
SKFB SS,"SKF AB",B1Q3J35,0.64%,"21,270","$542,078"
TER,"Teradyne Inc",880770102,2.55%,"5,877","$2,169,847"
TKR,"Timken Co/The",887389104,0.82%,"5,064","$694,223"
TSLA,"Tesla Inc",88160R101,8.19%,"17,545","$6,959,750"
TWD,"NEW TAIWAN DOLLAR",CASHTWD,0.00%,"1","$0"
XPEV,"XPeng Inc",98422D105,2.99%,"164,309","$2,543,503"
Cash&Other,,Cash&Other,0.05%,,"$41,085"
