Global X Robotics & Artificial Intelligence ETF
Fund Holdings Data as of 06/10/2026
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.15,090360 KS,ROBOSTAR CO LTD,B5LTV29,67.94556490941288,"73,410.00","4,987,883.92"
0.14,388720 KS,YUIL ROBOTICS CO LTD,BPJGTG2,54.95982946155841,"88,719.00","4,875,981.11"
0.13,6104 JP,"SHIBAURA MACHINE CO., LTD",6897262,24.33097605380398,"186,752.00","4,543,858.44"
0.12,6258 JP,HIRATA CORP,B1GZ9S6,16.3369575443525,"242,771.00","3,966,139.52"
0.11,SERV,SERVE ROBOTICS INC,BPBJW48,6.98,"560,315.00","3,910,998.70"
0.10,2431 HK,MINIEYE TECHNOLOGY CO LTD-H,BMYRRN2,1.3780607637499,"2,498,200.00","3,442,671.40"
0.10,CRNC,CERENCE INC,BJNPYY6,9.95,"338,690.00","3,369,965.50"
0.09,RR,RICHTECH ROBOTICS INC-CL B,BNV0DF5,2.2,"1,381,254.00","3,038,758.80"
0.09,"",CASH,"",1.0,"2,935,855.10","2,935,855.10"
0.08,EH,EHANG HOLDINGS LTD-SPS ADR,BJBYDW6,6.82,"394,733.00","2,692,079.06"
0.06,2121 HK,AINNOVATION TECHNOLOGY GRO-H,BMDWT54,0.4989090348834474,"4,251,300.00","2,121,011.98"
0.05,455900 KS,ANGEL ROBOTICS CO LTD,BRC2TP0,14.72372520786324,"113,897.00","1,676,988.13"
0.04,"",CHINESE YUAN RENMINBI,"",0.1475209106176698,"9,623,273.84","1,419,634.12"
0.00,1274 HK,IMOTION AUTOMOTIVE TECHNOL-H,BP2FFJ1,0.5231526840490798,"130,400.00","68,219.11"
0.00,"",BRITISH STERLING POUND,"",1.0,0.01,0.01
-0.00,"",JAPANESE YEN,"",0.006230723394653644,"-3,084,568.00","-19,219.09"
9.20,ABBN SW,ABB LTD-REG,7108899,99.7618749206736,"3,151,536.00","314,403,140.24"
9.16,6861 JP,KEYENCE CORP,6490995,454.1574503909732,"689,945.00","313,343,662.11"
8.58,NVDA,NVIDIA CORP,2379504,200.42,"1,463,712.00","293,357,159.04"
8.34,6954 JP,FANUC CORP,6356934,42.13838437379048,"6,764,046.00","285,025,970.27"
6.51,ISRG,INTUITIVE SURGICAL INC,2871301,412.02,"540,196.00","222,571,555.92"
4.46,300124 C2,SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,10.34121586753176,"14,756,624.00","152,601,434.26"
3.89,6273 JP,SMC CORP,6763965,385.3079535232819,"345,076.00","132,960,527.37"
3.32,6383 JP,DAIFUKU CO LTD,6250025,39.6772485108134,"2,857,936.00","113,395,036.90"
2.86,300757 C2,ROBOTECHNIK INTELLIGENT TE-A,BNHPGJ9,90.87583164508212,"1,077,545.00","97,922,798.01"
2.32,GOOGL,ALPHABET INC-CL A,BYVY8G0,356.38,"222,959.00","79,458,128.42"
2.19,6506 JP,YASKAWA ELECTRIC CORP,6986041,37.30957350480251,"2,006,658.00","74,867,554.15"
2.18,AUR,AURORA INNOVATION INC,BMF0P92,6.05,"12,341,924.00","74,668,640.20"
2.14,CGNX,COGNEX CORP,2208288,58.69,"1,246,381.00","73,150,100.89"
1.95,BIDU,BAIDU INC - SPON ADR,B0FXT17,117.48,"568,784.00","66,820,744.32"
1.90,AVAV,AEROVIRONMENT INC,B1P5YY8,172.93,"375,605.00","64,953,372.65"
1.85,TSLA,TESLA INC,B616C79,381.59,"165,465.00","63,139,789.35"
1.67,9660 HK,HORIZON ROBOTICS INC,BS5YNY7,0.6048155567654306,"94,224,600.00","56,988,503.91"
1.67,277810 KS,RAINBOW ROBOTICS,BM9Q3J2,392.1954418841607,"145,253.00","56,967,564.52"
1.60,1810 HK,XIAOMI CORP-CLASS B,BG0ZMJ9,3.358385116769699,"16,305,600.00","54,760,484.36"
1.55,6645 JP,OMRON CORP,6659428,34.18798093658437,"1,551,873.00","53,055,404.54"
1.50,XPEV,XPENG INC - ADR,BMXR2T4,14.86,"3,458,052.00","51,386,652.72"
1.37,9880 HK,UBTECH ROBOTICS CORP LTD-H,BR4VSK3,14.34203978474246,"3,266,227.00","46,844,357.58"
1.36,JBTM,JBT MAREL CORP,B3BRJZ8,119.0,"390,896.00","46,516,624.00"
1.14,SYM,SYMBOTIC INC,BPG82M8,41.24,"945,744.00","39,002,482.56"
1.09,PATH,UIPATH INC - CLASS A,BMD02L5,10.75,"3,462,961.00","37,226,830.75"
1.09,RSW LN,RENISHAW PLC,0732358,67.60831400463742,"549,011.00","37,117,708.08"
0.99,454910 KS,DOOSAN ROBOTICS INC,BN4P528,69.91310051160019,"484,949.00","33,904,288.18"
