COMPANY NAME,TICKER,FIGI,SHARES,MARKET VALUE,% OF NET ASSET VALUES
INFINEON TECHNOLOGIES AG,IFX GR,BBG000C8L0S4,520739,45553373.50,2.32%
HARMONIC DRIVE SYSTEMS INC.,6324 JP,BBG000BCZPZ8,1018000,44657202.58,2.28%
HIWIN TECHNOLOGIES CORP.,2049 TT,BBG000RGDQ93,3503970,38219084.73,1.95%
CELESTICA INC.,CLS CN,BBG000BRW7J6,102761,38010187.72,1.94%
TERADYNE INC,TER,BBG000BV4DR6,101651,37530565.71,1.91%
DELTA ELECTRONICS INC.,2308 TT,BBG000BDXMM9,489117,37344848.40,1.91%
JENOPTIK AG,JEN GR,BBG000BJ5VQ3,736852,36838340.25,1.88%
ROCKWELL AUTOMATION INC,ROK,BBG000BBCDZ2,79186,36462777.42,1.86%
NOVANTA INC,NOVT,BBG000JB24Q5,224346,36041184.90,1.84%
HON HAI PRECISION INDUSTRY CO LTD.,2317 TT,BBG000BHCGS0,4027660,35335935.82,1.80%
FANUC CORP.,6954 JP,BBG000BM3TW6,766700,34068644.97,1.74%
QUALCOMM INC,QCOM,BBG000CGC1X8,164975,33889164.50,1.73%
YASKAWA ELECTRIC CORP.,6506 JP,BBG000BDCF47,839700,33508355.43,1.71%
FUJI CORPORATION,6134 JP,BBG000BCMC18,721000,33279691.74,1.70%
AIRTAC INTERNATIONAL GROUP,1590 TT,BBG0014M8L72,798247,32934313.47,1.68%
ILLUMINA INC,ILMN,BBG000DSMS70,201773,32289733.19,1.65%
AMBARELLA INC,AMBA,BBG001QZCPJ2,488916,32146227.00,1.64%
COHERENT CORP,COHR,BBG000BLW102,88475,31491791.50,1.61%
THK CO LTD.,6481 JP,BBG000BCT7G6,678900,30446814.76,1.55%
RENISHAW PLC,RSW LN,BBG000BDZTQ8,436976,29105975.83,1.48%
ADVANTECH CO LTD.,2395 TT,BBG000C4MGW2,1864293,28851451.90,1.47%
CADENCE DESIGN SYSTEMS INC.,CDNS,BBG000C13CD9,73261,28637724.90,1.46%
KOH YOUNG TECHNOLOGY INC.,098460 KS,BBG000VGNPP1,1290568,28542761.48,1.46%
DAIFUKU CO LTD.,6383 JP,BBG000BLQSJ0,694100,28443135.63,1.45%
ABB LIMITED,ABBN SW,BBG000DM2M32,275372,27825755.71,1.42%
AUTOSTORE HOLDINGS LTD.,AUTO NO,BBG0130YK031,22670204,27622279.47,1.41%
SOFTBANK GROUP CORP.,9984 JP,BBG000CLY2D3,625600,27513829.83,1.40%
KEYENCE CORP.,6861 JP,BBG000BQF869,58900,27480908.55,1.40%
MICROCHIP TECHNOLOGY INCORPORATED,MCHP,BBG000BHCP19,295912,27067070.64,1.38%
INTUITIVE SURGICAL INC.,ISRG,BBG000BJPDZ1,62533,26677203.13,1.36%
NORDSON CORP,NDSN,BBG000BPWGR1,90478,26250382.14,1.34%
EMERSON ELECTRIC CO.,EMR,BBG000BHX7N2,183944,26197304.48,1.34%
NVIDIA CORP,NVDA,BBG000BBJQV0,124978,26019169.82,1.33%
ONDAS INC.,ONDS,BBG009HYYCD9,2683204,25892918.60,1.32%
OMRON CORP.,6645 JP,BBG000BGJC59,718400,25758487.41,1.31%
COGNEX CORP,CGNX,BBG000BPBVW5,412425,25289901.00,1.29%
IPG PHOTONICS CORP,IPGP,BBG000DCGRL8,231176,24590191.12,1.25%
SCHNEIDER ELECTRIC SE,SU FP,BBG000BBWBV8,80187,24425095.56,1.25%
NABTESCO CORP.,6268 JP,BBG000Q04VG0,775000,23498330.79,1.20%
ATS CORPORATION (CANADA),ATS CN,BBG000BBH2L6,855074,23435838.28,1.20%
SAMSARA INC,IOT,BBG0099PW5P1,685205,23036592.10,1.18%
KARDEX HOLDING AG,KARN SW,BBG000BC43V5,80626,23018654.70,1.17%
SIEMENS AG,SIE GR,BBG000BCCRV3,74784,22852828.30,1.17%
UBTECH ROBOTICS CORP LTD.,9880 HK,BBG00J7PGM72,1534550,22850396.51,1.17%
GEA GROUP AG,G1A GR,BBG000BSV6W2,359083,22730713.67,1.16%
RASPBERRY PI HOLDINGS PLC,RPI LN,BBG0131553Q9,1778724,22637352.30,1.15%
JOBY AVIATION INC.,JOBY,BBG00X2MYTC2,2440698,22625270.46,1.15%
OPTEX GROUP COMPANY LTD,6914 JP,BBG000BNLSC8,822900,22619415.93,1.15%
SYMBOTIC INC,SYM,BBG00Z72HCV1,529974,22534494.48,1.15%
KRONES AG,KRN GR,BBG000BMJGN7,174357,22255766.91,1.14%
XPENG INC.,XPEV,BBG00WKJG3M7,1434318,22203242.64,1.13%
DEERE & COMPANY,DE,BBG000BH1NH9,38434,22189101.22,1.13%
MITSUBISHI ELECTRIC CORP.,6503 JP,BBG000BGHX91,610900,22182316.31,1.13%
ZEBRA TECHNOLOGIES CORPORATION,ZBRA,BBG000CC7LQ7,92802,21734228.40,1.11%
YOKOGAWA ELECTRIC CORPORATION,6841 JP,BBG000BDCQP0,704400,21709348.23,1.11%
GLOBUS MED INC,GMED,BBG002V87SD0,260501,21496542.52,1.10%
SMC CORP.,6273 JP,BBG000BLKXN0,53600,20897494.62,1.07%
DAIHEN CORP,6622 JP,BBG000BLWK64,216800,20847324.58,1.06%
JBT MAREL CORP.,JBTM,BBG000VLBCQ1,162869,20133865.78,1.03%
DUERR AG,DUE GR,BBG000BF8LY1,882935,19845365.24,1.01%
KALMAR OYJ,KALMAR FH,BBG01MC17LB8,399287,19361887.83,0.99%
AUTODESK INC,ADSK,BBG000BM7HL0,85773,19220013.84,0.98%
HEXAGON AB,HEXAB SS,BBG000BF1LB3,2209464,19169095.42,0.98%
TESLA INC,TSLA,BBG000N9MNX3,47857,18983914.76,0.97%
APTIV PLC,APTV,BBG01R914LT5,277186,18981697.28,0.97%
PTC INC,PTC,BBG000C2VBB0,134757,18457666.29,0.94%
XIAOMI CORP.,1810 HK,BBG00KVBNBT5,5123200,17780831.04,0.91%
STRATASYS LTD,SSYS,BBG002S5ZRF9,1969633,17057021.78,0.87%
TRIMBLE INC,TRMB,BBG000BNPS52,306307,16218955.65,0.83%
GXO LOGISTICS INC.,GXO,BBG00YDGX945,310751,15612130.24,0.80%
ELEKTA AB,EKTAB SS,BBG000BH5600,2643487,15016393.32,0.77%
KION GROUP AG,KGX GR,BBG000BX9VY9,296904,13230061.46,0.67%
SHIBAURA MACHINE CO LTD,6104 JP,BBG000BD1XZ6,504400,12495510.28,0.64%
HAN'S LASER TECHNOLOGY INDUSTRY GROUP CO LTD.,002008 C2,BBG00F136T17,671101,12340970.78,0.63%
SERVE ROBOTICS INC,SERV,BBG0123N71Y3,1713796,11893744.24,0.61%
ESTUN AUTOMATION CO LTD.,002747 C2,BBG00JMZYB68,2038100,11297858.74,0.58%
SHENZHEN INOVANCE TECHNOLOGY CO LTD.,300124 C2,BBG00F139TY8,550900,6070209.59,0.31%
OCTAVE INTELLIGENCE PLC,OCTVSDB SS,BBG0219HXHK2,219466,4136242.38,0.21%
CASH & OTHER,Cash-USD,BBG0013HGBT3,13351854,13351854.49,0.68%
